Original,linear:128_layers:3,linear:64_layers:3,linear:15_layers:3,cubic:15_layers:3,cubic:64_layers:3,cubic:128_layers:3,bspline:10_layers:3,bspline:15_layers:3,linear:128_layers:4,linear:64_layers:4,linear:15_layers:4,cubic:15_layers:4,cubic:64_layers:4,cubic:128_layers:4,bspline:10_layers:4,bspline:15_layers:4
4.474818888305189,2.735639810562134,3.967776298522949,2.746129274368286,3.8763956576331107,3.0877430119000353,1.986528175207863,3.2090885639190674,2.871983766555786,3.8244948387145996,3.798187017440796,3.8204433917999268,3.749262660195593,3.8760431714832158,3.0744609602020727,3.227694511413574,3.9103190898895264
2.8207643898678496,3.8669111728668213,3.7984161376953125,3.745675802230835,2.9708063300991494,2.6975237334347963,2.0086114383026565,3.246950149536133,3.742546558380127,3.599661350250244,1.7816064357757568,2.7232184410095215,3.886662740797301,2.7499141645350003,3.831438108777014,1.7335823774337769,3.759843587875366
2.926160422065907,3.9111859798431396,3.876049757003784,3.6952359676361084,2.7691313498122407,3.7996209278061586,4.08695733017115,2.9312264919281006,1.99674654006958,3.097018003463745,3.854241132736206,2.784658193588257,2.7655426120283018,2.8093911113421726,1.9876594446968656,2.8492696285247803,3.606281042098999
3.7105306147919177,3.9264535903930664,3.9148025512695312,3.6746115684509277,3.7695207650634353,2.7867272628136464,4.648206012910247,3.8103628158569336,3.801656723022461,7.712857723236084,3.7868402004241943,2.7673325538635254,3.7097217127218043,2.8810790505130996,5.725536360703389,3.083331346511841,3.7820374965667725
1.7373627358478587,12.967168807983398,2.7947516441345215,3.8920063972473145,2.8536367739465045,2.845622471419715,6.867723309907272,2.0322701930999756,3.7378668785095215,4.060965538024902,1.8214510679244995,1.830461025238037,2.758634850019822,1.7649117423863763,2.1633921571928876,2.664705991744995,1.980574607849121
1.7390699897585535,3.15498948097229,2.174940347671509,2.901597499847412,1.7126374931255017,3.9359954456075035,3.8675489256393907,1.9414153099060059,1.8151917457580566,7.537699222564697,2.725618839263916,1.7990986108779907,1.7066273013370308,2.8244941640780867,3.8718965382616575,1.7094911336898804,2.768665313720703
3.8737180672936558,4.506035327911377,2.9733996391296387,3.778263807296753,3.7415752754006832,2.761545831964634,16.273616473458212,3.8604519367218018,3.922189950942993,4.707427978515625,2.7014315128326416,3.8454995155334473,3.8231651479282713,3.759926782677186,2.1683762981848225,3.516667127609253,3.7666425704956055
3.8901802818247484,3.1021337509155273,3.7511050701141357,3.852476119995117,2.8853410803339834,2.677858774670594,2.295372625064092,3.6699860095977783,3.8029513359069824,4.30491828918457,2.828514814376831,3.737536907196045,3.746522266825846,2.689847155835651,4.1154582739923,3.802394151687622,3.8167941570281982
3.9734914526901095,4.216846942901611,4.0410919189453125,2.6617393493652344,2.9524675545040293,3.8890500752547834,3.246410881434534,3.3000762462615967,3.773564338684082,4.12492036819458,3.7164533138275146,3.9104788303375244,3.9104787945682054,3.914756329416996,4.424014335610992,3.410177230834961,3.8986294269561768
2.8726024089379996,2.197962999343872,3.46159291267395,3.750109910964966,3.7219997596506627,3.749335992883173,3.1275870484741204,3.502664804458618,2.9190032482147217,3.842302083969116,2.802093982696533,2.799509048461914,2.7859934383774863,3.8261936339114904,2.928824212833814,3.56359601020813,3.739485740661621
3.8132229546868777,5.749066352844238,3.846762180328369,2.764986991882324,2.780034833400957,1.9796401112332143,12.342184805575098,3.5062549114227295,3.7611377239227295,9.07333755493164,1.8651158809661865,3.2531676292419434,3.7561221966039477,2.7712480878329986,5.907840053506801,2.8539955615997314,3.770054578781128
3.8004364599511193,3.864764451980591,3.9005322456359863,3.7495155334472656,3.8959635390973935,2.7520114640952675,17.702412047466865,3.622143268585205,3.8343851566314697,6.322881698608398,1.9291712045669556,3.826230764389038,3.762467329241719,3.790025693694624,2.8058289208636076,3.620237112045288,1.8843826055526733
3.813981192845274,3.946938991546631,3.3270344734191895,5.640676498413086,3.79570113651879,3.891715593098227,3.153409605781221,3.216125249862671,2.8173396587371826,4.012226581573486,1.77243173122406,3.709806442260742,3.8673798576770038,3.856879452403112,3.983206500210699,3.6738646030426025,3.94590425491333
3.8628856112364027,6.6329145431518555,2.0172688961029053,3.877481460571289,4.026382129719257,3.5803569775674893,3.0702482986329724,3.5919125080108643,3.8249142169952393,2.8353209495544434,1.8234878778457642,3.7209835052490234,3.7387270058643667,3.8189621151721007,2.967930278706577,3.5396106243133545,2.810474395751953
2.7743122199568155,4.727181434631348,2.815361976623535,3.027574062347412,2.8497259747135186,2.791864456266117,3.1048620426590303,2.7463271617889404,2.807464122772217,3.9024970531463623,1.7394535541534424,2.937556028366089,2.7325405182918683,2.937159893764907,3.1400172031059372,1.8465428352355957,3.9517805576324463
